,hotspots_owned,total_hnt_alltime,median_alltime,avg_alltime,stddev_alltime,past_week_hnt,past_week_hnt_per_hotspot
14Rqw67Er4T4mDitRR5hkvDbefXUhVQGiaVV4yzgSF3sVtu6PfU,73,94222.98328868,697.71118923,1290.7257984750686,1657.88504935,3212.94099281,44.01289031246575
13Wwpbanr8rMrGPBYajqDTHsScYJAVuXJwSP2hLD3nQk74Zm55y,20,23824.46649683,185.363526435,1191.2233248415,2032.42817605,1127.44262366,56.372131183
13W2BQ5FxQEV4C3PR9nYEC6kywKfNYFFVmHo38UgpLxusX9buCd,11,22712.71941541,476.81979683,2064.7926741281817,2343.40194155,874.21635843,79.47421440272727
14a1EcchN6gaqHzSh9u2NMuNCSzqWhxU11TWbsJG8Sn9q98bkCL,9,3628.90917794,288.810111345,302.4090981616667,125.41083038,659.71462562,73.30162506888888
14HzZRyju96jHNPjnk3KZFuz8scmK9q4MTJPr7bYdFEo6WYJEmM,6,1813.21753153,314.82090734,302.20292192166664,102.23138898,294.22986616,49.03831102666666
13NCaCjEqGPCrMgEGkzjLEAX3dfaGDNA9SksARATyRgEyxuJLGg,5,2129.51755993,404.98135436,425.903511986,289.25357024,325.88562662,65.177125324
14BT97xnPZ9YfmeTxmuMhstxB8zHS8FeTUDxqPp38duW7NPHNCg,5,118.18561168,20.07309273,23.637122336,19.78985032,70.0164145,14.003282899999999
13v9kMn5p1a3Y5vqnPxzqfaiEhhrRBaMLYk7SmiN3pJEx1WmBpT,4,3263.5443781,250.996010355,815.886094525,1298.81237969,106.91766818,26.729417045
14SiXdBfQT15p43yGuHRFwg9ynP3Fx8ELErkbAUH9H326mGtrA4,4,5694.14624634,1712.96777528,1423.536561585,909.67626798,105.09464455,26.2736611375
14DXurfTM8ZRek6msvJWNGzpzCV836cu31Xw67zf8QJG9UtfQLV,3,4098.14639301,1038.88116774,1366.04879767,715.74921611,58.39371303,19.46457101
