,timestamp_added,reward_scale,owner,nonce,name,location,last_poc_challenge,last_change_block,gain,elevation,block_added,block,address,lng,lat,short_street,short_state,short_country,short_city,long_street,long_state,long_country,long_city,city_id,online,listen_addrs,height
321,2021-04-23T19:01:52.000000Z,,13H9ykhRaWw8AVEMqf7rV6Fn9fnLXxZ6G98JEdsA1gdcJKYqQYW,1,micro-mandarin-frog,8c088661dc631ff,,816222,12.0,0.0,816172,819636,11oiPRR76ZobHu6HDwfjfJc1wMEDt8VdKw8qEkGr5YyVeXSvzbj,18.051598318364874,59.33723586749736,Tegnérgatan,Stockholms län,SE,Norrmalm,Tegnérgatan,Stockholms län,Sweden,Norrmalm,bm9ycm1hbG1zdG9ja2hvbG1zIGzDpG5zd2VkZW4,offline,,
607,2021-04-22T16:34:03.000000Z,,13H9ykhRaWw8AVEMqf7rV6Fn9fnLXxZ6G98JEdsA1gdcJKYqQYW,1,gentle-taupe-rabbit,8c1f05b86badbff,,814652,12.0,0.0,814599,819636,112YEFjVkBcob3xH3L4ok7ms3Wsdt25tHMDXXccs68XSng9TVCLa,12.997875486846837,55.584603636880516,Annebergsgatan,Skåne län,SE,Väster,Annebergsgatan,Skåne län,Sweden,Väster,dsOkc3RlcnNrw6VuZSBsw6Ruc3dlZGVu,offline,,
824,2021-04-21T18:48:02.000000Z,,13H9ykhRaWw8AVEMqf7rV6Fn9fnLXxZ6G98JEdsA1gdcJKYqQYW,1,rare-navy-donkey,8c08866f002e3ff,,813650,12.0,0.0,813598,819636,11LVT3eDPb8Rpj62ckp7WoXdYp8zJzXWqnSNk4kBptMvedLQAbs,18.18186687284216,59.312048399533765,Skogalundsklippan,Stockholms län,SE,Nacka Östra,Skogalundsklippan,Stockholms län,Sweden,Nacka Östra,bmFja2Egw7ZzdHJhc3RvY2tob2xtcyBsw6Ruc3dlZGVu,offline,,801100.0
837,2021-04-21T17:13:42.000000Z,,13H9ykhRaWw8AVEMqf7rV6Fn9fnLXxZ6G98JEdsA1gdcJKYqQYW,1,tame-cyan-mockingbird,8c0886298ae9bff,,813590,12.0,0.0,813539,819636,112uhtFgsxqSs6u9SmaQzZ2VLuH1qs3yXbSYXShmtM6BdaQ3vqFw,18.082670801568096,59.54584767156637,Enbacksvägen,Stockholms län,SE,Vallentuna Norra,Enbacksvägen,Stockholms län,Sweden,Vallentuna Norra,dmFsbGVudHVuYSBub3JyYXN0b2NraG9sbXMgbMOkbnN3ZWRlbg,offline,,
1582,2021-04-16T17:13:13.000000Z,,13AvzGLk4ormmqzR1UKL7tSMHv5jkEjsikwoaSkFAzhMRt7dcB5,1,sweet-taffy-goat,8c1f2506ea30bff,,806707,12.0,0.0,806655,819636,112FPq9SLn7NYHbnr16JvFmRRiQecP7KkQgoHrpZ4EV1wheyMiZG,11.929349964280238,57.681516365474,Kungsladugårdsgatan,Västra Götalands län,SE,Kungsladugård,Kungsladugårdsgatan,Västra Götalands län,Sweden,Kungsladugård,a3VuZ3NsYWR1Z8OlcmR2w6RzdHJhIGfDtnRhbGFuZHMgbMOkbnN3ZWRlbg,offline,,806455.0
1644,2021-04-16T14:33:09.000000Z,,13AvzGLk4ormmqzR1UKL7tSMHv5jkEjsikwoaSkFAzhMRt7dcB5,1,tart-walnut-hippo,8c1f25a906457ff,,819110,12.0,0.0,806492,819636,11yYVz7yTnJCBR8Co6ebnkJWu6NueSFhJ2ukMqAY4hmmu6eTAfh,11.943766605276641,57.71829873737528,Hallegatan,Västra Götalands län,SE,Brämaregården,Hallegatan,Västra Götalands län,Sweden,Brämaregården,YnLDpG1hcmVnw6VyZGVudsOkc3RyYSBnw7Z0YWxhbmRzIGzDpG5zd2VkZW4,offline,,644518.0
2600,2021-04-09T12:37:59.000000Z,1.0,13Wwpbanr8rMrGPBYajqDTHsScYJAVuXJwSP2hLD3nQk74Zm55y,1,shallow-coconut-blackbird,8c088660ac263ff,819530.0,819633,12.0,0.0,796353,819636,11SqUzCUGuYNQJd6oNLRybxqLLQY9MeyPK8A4ZNMpo42GLwcToS,18.067746002393736,59.35045842518619,Drottning Kristinas väg,Stockholms län,SE,Östermalm,Drottning Kristinas väg,Stockholms län,Sweden,Östermalm,w7ZzdGVybWFsbXN0b2NraG9sbXMgbMOkbnN3ZWRlbg,online,['/p2p/11HyJbRnTi1G6pVUpDLk2QQQDLeZqW3XV3GGt3TxhWotfs2AupS/p2p-circuit/p2p/11SqUzCUGuYNQJd6oNLRybxqLLQY9MeyPK8A4ZNMpo42GLwcToS'],819609.0
2754,2021-04-08T16:58:05.000000Z,1.0,13AvzGLk4ormmqzR1UKL7tSMHv5jkEjsikwoaSkFAzhMRt7dcB5,1,bent-pearl-llama,8c08863b3ba37ff,,811657,12.0,0.0,795218,819636,1122eiAT2VU6W6HnASAK2Uwtmb1enJi2b78MmwYwLktciWW8vjff,17.649184144700957,59.51724196273323,GULLVIVESTIGEN,Stockholms län,SE,Bro,GULLVIVESTIGEN,Stockholms län,Sweden,Bro,YnJvc3RvY2tob2xtcyBsw6Ruc3dlZGVu,offline,,791015.0
2760,2021-04-08T16:51:04.000000Z,0.8333282470703125,13AvzGLk4ormmqzR1UKL7tSMHv5jkEjsikwoaSkFAzhMRt7dcB5,1,shallow-lime-mockingbird,8c1f05b841667ff,819521.0,819571,12.0,0.0,795211,819636,11pxRnK499AMwRfKPJLeGUwAG5QMzSGRJFdjTQ8zgv88Pxr3UVr,13.009327777025165,55.59913680576484,Föreningsgatan,Skåne län,SE,Rörsjöstaden,Föreningsgatan,Skåne län,Sweden,Rörsjöstaden,csO2cnNqw7ZzdGFkZW5za8OlbmUgbMOkbnN3ZWRlbg,online,['/ip4/84.217.41.67/tcp/44158'],819580.0
2765,2021-04-08T16:32:58.000000Z,1.0,13AvzGLk4ormmqzR1UKL7tSMHv5jkEjsikwoaSkFAzhMRt7dcB5,1,tame-turquoise-platypus,8c1f2506e06adff,,795381,,,795195,819636,1129mmwZXMPTjhfhLPWNNjuhcRMFcWpiRiRM9mEGRWEgXP2vbJVi,11.927035438874528,57.6768056622637,Blåvalsgatan,Västra Götalands län,SE,Kungsladugård,Blåvalsgatan,Västra Götalands län,Sweden,Kungsladugård,a3VuZ3NsYWR1Z8OlcmR2w6RzdHJhIGfDtnRhbGFuZHMgbMOkbnN3ZWRlbg,offline,,791110.0
