,lng,lat,timestamp_added,reward_scale,owner,nonce,name,location,last_poc_challenge,last_change_block,gain,elevation,block_added,block,address,short_street,short_state,short_country,short_city,long_street,long_state,long_country,long_city,city_id,online,listen_addrs,height
111,18.148265384505017,59.37435676262862,2021-05-10T07:04:45.000000Z,,14d7XEZJTsFRytmSuj2Ldtx8WpNnNPwawdEv6yV7C4dLwuV6FYm,1,straight-gingham-piranha,8c08866e53a0bff,,838554,23.0,0.0,838504,838837,112gJ56zUR4eT83NVgKMQrBP2qA3RNkuKvGohXbck7vf17wu7BKb,Vesslevägen,Stockholms län,SE,Näset,Vesslevägen,Stockholms län,Sweden,Näset,bsOkc2V0c3RvY2tob2xtcyBsw6Ruc3dlZGVu,online,,
300,18.030282957793823,59.318948487431875,2021-05-09T08:27:19.000000Z,,13FXVoT4zCJ7MJxU1jcYZ6S6PKjY1QtgLcWSdxTbghwtFJaLqTK,1,rhythmic-grape-camel,8c088661cc007ff,,837167,23.0,0.0,837117,838837,11VAXthLCQHGXhtcCyqRsBdmubsn7BJf63nmZNdKm3H41Xxi9KH,Högalidsgatan,Stockholms län,SE,Södermalm,Högalidsgatan,Stockholms län,Sweden,Södermalm,c8O2ZGVybWFsbXN0b2NraG9sbXMgbMOkbnN3ZWRlbg,offline,['/ip4/188.122.146.86/tcp/44158'],837309.0
435,18.05818261186896,59.342857832938186,2021-05-08T17:22:45.000000Z,0.5434722900390625,14pXvC5c8sMu3zonoqtmA1XJ32TmyFSY6u16a7yZ1JEKaASRFb4,1,little-magenta-donkey,8c088661db9a5ff,838818.0,838818,28.0,0.0,836260,838837,11RWUDgQ2Q9ykHtTKrtkRCpy4aziYNhZo23SZvDVXqREWtGLNzH,Luntmakargatan,Stockholms län,SE,Norrmalm,Luntmakargatan,Stockholms län,Sweden,Norrmalm,bm9ycm1hbG1zdG9ja2hvbG1zIGzDpG5zd2VkZW4,online,['/ip4/83.249.23.195/tcp/44158'],838697.0
461,11.958517111587117,57.6955196166723,2021-05-08T16:03:55.000000Z,0.7142791748046875,143cvz6nVMq6yuLXTiRnuYj2cmyUbE1mZ2VGV92i2PKxf3hARGC,1,wild-laurel-gorilla,8c1f2506dca69ff,838819.0,838834,28.0,8.0,836185,838837,112YwoSnXz52MB2svdJWrYDaR9dYhMZW92Z2DJhq2SDXwDeyMwBp,Skanstorget,Västra Götalands län,SE,Annedal,Skanstorget,Västra Götalands län,Sweden,Annedal,YW5uZWRhbHbDpHN0cmEgZ8O2dGFsYW5kcyBsw6Ruc3dlZGVu,online,['/ip4/84.55.126.94/tcp/44158'],838737.0
1103,17.622626893258392,59.86604492441909,2021-05-07T15:55:10.000000Z,,14M4QsTZdUpwPrGKDKUwVCM5sVPCxcjdUyp94QBfccP2mb2gjaD,1,noisy-green-leopard,8c0880d9dbacbff,,834785,40.0,0.0,834699,838837,112bHgyKAeyGjtdVgNYtqEiohRe7tMmDC65HALAxnxhNzNmW5goT,Götgatan,Uppsala län,SE,Luthagen,Götgatan,Uppsala län,Sweden,Luthagen,bHV0aGFnZW51cHBzYWxhIGzDpG5zd2VkZW4,offline,[],836555.0
1115,18.064924743570913,59.316946463915755,2021-05-07T15:40:57.000000Z,0.2717437744140625,13Z9XyC3uE46wrcGiFCKfFXCwo5s76HPYG8PXsCjLfEDdq4akYE,1,petite-punch-armadillo,8c0886618db41ff,838606.0,838791,28.0,6.0,834684,838837,112FshPWtmF26DKkeZdYVTzzeL39DuNhK1j8SWSAin2ZoQ3BQ9qQ,Wollmar Yxkullsgatan,Stockholms län,SE,Södermalm,Wollmar Yxkullsgatan,Stockholms län,Sweden,Södermalm,c8O2ZGVybWFsbXN0b2NraG9sbXMgbMOkbnN3ZWRlbg,online,['/ip4/178.78.235.26/tcp/44158'],838730.0
1215,17.646986769289654,59.862427612900554,2021-05-07T14:03:21.000000Z,,14M4QsTZdUpwPrGKDKUwVCM5sVPCxcjdUyp94QBfccP2mb2gjaD,1,striped-holographic-quail,8c0880d9d669dff,,834635,40.0,0.0,834580,838837,11aQCZyLSahtvymiKVfWUHBxsNpStT1JmBAArb8DaJFgqf6u22N,Vaksalagatan,Uppsala län,SE,Fålhagen,Vaksalagatan,Uppsala län,Sweden,Fålhagen,ZsOlbGhhZ2VudXBwc2FsYSBsw6Ruc3dlZGVu,offline,['/p2p/112qB3YaH5bZkCnKA5uRH7tBtGNv2Y5B4smv1jsmvGUzgKT71QpE/p2p-circuit/p2p/11aQCZyLSahtvymiKVfWUHBxsNpStT1JmBAArb8DaJFgqf6u22N'],835200.0
1277,18.06668620143064,59.37113518433299,2021-05-07T10:20:24.000000Z,1.0,13TAPEoQkexPAed2wzi2gKzgCG98L4nxDsoNhpH66CKifqqHFQP,1,smooth-gunmetal-barracuda,8c08866080e9dff,,834426,40.0,0.0,834375,838837,11R1mHsf4yKuf8ct633SGLgnWfJ182VUCVAJdKxuNosAGgYNuAV,Professorsslingan,Stockholms län,SE,Östermalm,Professorsslingan,Stockholms län,Sweden,Östermalm,w7ZzdGVybWFsbXN0b2NraG9sbXMgbMOkbnN3ZWRlbg,offline,['/p2p/112s1pp3uZeou1Pg8uF8sQd1NGsp3UiH3kbYXXbaLsbUzEshxgtz/p2p-circuit/p2p/11R1mHsf4yKuf8ct633SGLgnWfJ182VUCVAJdKxuNosAGgYNuAV'],837564.0
1573,13.403810079340397,57.77835000331567,2021-05-06T20:49:27.000000Z,,14HzZRyju96jHNPjnk3KZFuz8scmK9q4MTJPr7bYdFEo6WYJEmM,1,odd-rose-dolphin,8c08b6152495dff,,838826,12.0,0.0,833550,838837,11RH9LRzsZE4dmmzN6QkJ1Tk6B4qaPBEJDXKr9APnuha1bXxPxr,Marbäcksvägen,Västra Götalands län,SE,Ulricehamn,Marbäcksvägen,Västra Götalands län,Sweden,Ulricehamn,dWxyaWNlaGFtbnbDpHN0cmEgZ8O2dGFsYW5kcyBsw6Ruc3dlZGVu,offline,['/p2p/11pU3PqL2hARS1RH6HNc7fJCxHQ2JYEQjnpZejvtwxeaCVfxEZW/p2p-circuit/p2p/11RH9LRzsZE4dmmzN6QkJ1Tk6B4qaPBEJDXKr9APnuha1bXxPxr'],835282.0
1621,17.654012184439896,59.85344218972718,2021-05-06T19:39:21.000000Z,,13H9ykhRaWw8AVEMqf7rV6Fn9fnLXxZ6G98JEdsA1gdcJKYqQYW,1,witty-hazel-coyote,8c0880d98acc1ff,,833538,12.0,0.0,833488,838837,112kJkCriET8j5fzRqL3NYcg3Y85DU5trD3ndM4VzGsLMEYexpQP,Sockergatan,Uppsala län,SE,Kungsängen,Sockergatan,Uppsala län,Sweden,Kungsängen,a3VuZ3PDpG5nZW51cHBzYWxhIGzDpG5zd2VkZW4,offline,,
